paintingGenreId,paintingId,genreId
7,5,36
9,7,36
10,8,1
13,11,1
14,12,1
16,14,1
17,15,1
18,16,76
25,23,36
26,24,36
28,25,1
29,26,1
32,29,1
33,30,76
34,31,1
38,35,33
39,36,33
40,37,34
42,39,35
44,41,35
45,42,36
47,45,35
48,46,35
49,47,35
50,48,35
51,49,35
52,50,35
54,52,36
56,54,36
57,55,36
58,56,36
59,57,36
60,58,36
62,60,36
63,61,36
65,63,36
66,64,36
67,65,36
68,66,36
69,67,36
70,68,36
71,70,36
72,71,36
89,88,36
90,89,36
102,101,40
103,102,40
104,103,40
106,105,40
115,114,47
119,118,56
121,119,56
131,124,47
134,139,33
135,140,33
137,142,33
140,145,34
141,146,34
146,152,35
147,153,35
148,154,35
151,157,35
156,162,35
159,165,35
161,167,35
165,171,36
166,172,36
167,173,35
169,178,35
170,179,35
172,181,33
173,182,34
181,190,36
182,191,36
183,192,56
185,194,40
186,195,40
204,213,47
205,214,89
213,225,47
218,230,47
219,231,64
220,232,64
221,233,64
223,235,64
243,258,47
244,259,47
263,287,35
264,288,35
265,290,35
266,291,35
269,294,36
271,296,36
274,299,36
275,300,36
285,310,35
309,339,35
313,342,40
314,343,40
317,346,33
318,347,33
319,348,33
320,349,36
322,351,36
323,352,36
327,115,47
333,51,36
334,77,56
335,78,56
336,79,56
337,80,56
338,81,56
340,83,56
349,301,36
353,69,36
360,366,78
363,369,78
364,370,78
367,373,78
368,374,78
369,375,78
370,376,78
371,377,78
372,378,78
373,379,56
374,380,78
375,381,78
377,383,78
378,384,78
379,384,79
380,386,78
381,386,79
382,387,78
383,387,79
384,388,78
385,388,79
386,389,78
387,389,79
390,391,78
391,391,79
392,392,78
393,392,79
394,393,78
395,393,79
396,394,78
397,394,79
404,398,78
405,398,79
406,399,78
407,399,79
410,401,78
411,401,79
414,403,78
415,403,79
418,405,78
419,405,79
421,406,78
422,406,79
423,407,78
424,407,79
425,408,78
426,408,79
429,412,84
430,413,84
434,417,84
435,418,84
436,419,84
437,420,84
438,422,84
439,423,84
440,424,84
441,425,84
442,426,84
443,427,84
444,428,83
446,430,83
447,431,76
448,432,76
449,433,76
451,435,76
452,436,76
453,430,34
454,409,79
455,409,78
456,437,83
457,438,84
458,439,84
459,439,33
461,435,33
462,436,33
466,441,81
468,442,77
469,443,77
471,445,77
474,448,77
476,450,80
477,451,80
479,453,80
480,455,87
481,455,84
482,456,87
483,456,84
484,457,87
485,457,84
486,458,87
487,458,84
488,459,87
489,459,84
490,460,87
491,460,84
492,461,87
493,461,84
494,462,87
495,462,84
496,463,87
497,463,84
498,464,87
499,464,84
500,465,87
501,465,84
502,466,87
503,466,84
504,467,87
505,467,84
506,468,87
507,468,84
508,469,87
509,469,84
510,470,87
511,470,84
512,471,87
513,471,84
514,472,87
515,472,84
516,473,87
517,473,84
518,474,87
519,474,84
520,475,87
521,475,84
522,476,87
523,476,84
524,477,87
525,477,84
526,478,33
527,478,88
528,479,33
529,479,88
530,481,87
531,481,84
532,482,87
533,482,84
534,483,87
535,483,84
536,484,87
537,484,84
538,486,35
539,486,34
540,487,35
541,487,34
542,488,33
543,488,88
544,489,33
545,489,88
546,490,33
547,490,88
548,492,34
549,493,34
550,495,33
551,495,34
552,496,34
553,497,83
554,498,36
555,499,79
556,500,56
557,501,84
558,502,84
559,504,84
560,505,83
561,505,76
562,506,83
563,506,76
564,507,83
565,507,76
566,508,84
567,509,36
568,510,36
569,511,34
570,512,34
571,513,34
572,514,35
573,515,80
574,508,80
575,516,87
576,516,84
577,517,87
578,517,84
579,518,83
580,519,35
581,520,33
582,521,36
583,522,36
584,523,56
585,524,34
586,524,35
587,525,56
588,526,34
589,526,88
590,527,34
591,527,88
592,528,34
593,528,88
594,529,36
595,530,36
596,531,87
597,532,87
598,533,87
599,531,84
600,532,84
601,533,84
602,534,36
603,535,36
604,536,77
605,537,77
606,538,84
607,539,34
608,540,77
609,541,77
610,542,77
611,543,77
612,544,84
613,545,84
614,546,84
615,547,84
616,548,84
617,549,77
618,550,77
619,551,77
620,552,84
621,553,84
622,554,87
623,554,84
624,555,87
625,555,84
626,556,80
627,557,83
628,557,76
629,558,78
630,559,79
631,560,78
632,561,78
633,562,78
634,563,78
635,564,78
636,565,84
637,566,34
638,567,34
639,566,33
640,567,33
641,568,33
642,569,33
643,570,33
644,571,33
645,571,64
646,572,33
647,572,64
648,573,33
649,573,88
650,574,33
651,574,88
652,575,33
653,575,88
654,576,83
655,577,83
656,577,76
657,578,81
658,579,84
659,580,84
660,581,84
661,582,83
662,583,47
663,584,84
664,585,84
665,585,34
666,586,34
667,587,88
668,587,76
669,588,88
670,589,88
671,590,33
672,591,33
673,592,36
674,593,80
675,594,87
676,594,84
677,595,76
678,595,83
679,596,64
681,597,87
682,597,84
683,598,81
684,599,81
685,420,87
686,600,89
687,601,56
688,602,56
689,603,56
690,604,33
691,605,33
692,606,56
693,607,56
694,608,56
695,609,56
696,610,89
697,611,89
698,612,84
699,612,87
700,613,84
701,613,87
702,614,84
703,614,87
704,526,89
705,527,89
706,528,89
707,600,34
708,600,88
709,610,88
710,610,34
711,611,34
712,478,89
713,479,89
